content,location,date,satisfaction,customer_service,speed,"reliability,"
Not only do BT feel it's OK to increase the price of their sub par broadband product  but they also find it very easy to cap speeds whenever they find fit. I have never bought a broadband product from anybody and received such a bad experience.~~~,Failsworth~~~,2018-01-22~~~,1,1,1,2
Terrible customer service. BT left me with no broadband for 6 weeks because they said it was an Open reach problem and Open reach said it was a BT problem (even though there the same company) I was passed from person to person hung up on 6 times and promised 7 call backs that I never received. And when enquired about cancelling my contract I was told I would have to pay the cancellation charges even though they weren’t providing me with the service I was paying for. When they finally fixed the problem a very rude manger said all they could offer as compensation was my money back for 4 of the weeks did not have service and that money would only be offered as credit on my BT account not put back into my bank account. They also charged me a extra £130 for an engineer visit that was supposed to be free because my home hub was not working and when I asked for that money back they said they couldn’t do it because the ONE person out of the whole company that can do that wasn’t in. So I still have not got my money back because that one person still is not in and they’re basically refusing to give it back. I would STRONGLY advise anyone considering BT as there broadband provider to go else where. They are a joke and will just take you for a ride to try and get as much money out of you as possible.~~~,Scotland ~~~,2018-01-22~~~,~~~,~~~,2,~~~
BT are not cheap  they claim broadband speed up to 50mps  every time I check mine I just about get 17. So why should I pay out over £50 a month for such a slow speed. If I complain they say its my line in the house  they offer to send a engineer out to look and want to charge even more money. Also if you have a long contract they can still put their prices up at any time.I would not recommend BT.~~~,GRAVESEND~~~,2018-01-21~~~,2,2,1,2
Terrible customer service. Too many departments and people passing the blame. If something goes wrong with your account it takes phone call after phone call before anything is sorted and nobody gets back to you as promised.  Most of the customer service team are polite but are using a system that is a complete shambles.~~~,Scunthorpe~~~,2018-01-18~~~,1,1,3,2
What can I say and where do I start . I went with BT  June 2016 I was an ongoing With Cancer Treatments  I had to have a large section off 1 side off my Face Removed  . So there would be numerous Maxifacial Plastic and Optimology work  to be carried out . Unfortunately I am Lao a Transplant  patient. During the numerous ops Mum and Dad botched died in October 2017 with cancer within 8 days off each other . I was backwards and forwards also to the Hospital. Finances spiralled out off control . I phoned BT in January to pay £207.00 they said they had Terminated the Contract. I now owed £429.00 but no Service or House Phone . There  attitude was appalling . But there was nothing they could do . I do not claim Any Benefits or get Financial Help . The Hospital say I am Vulnerable living on my own . The Jury is out . I rest my case . P.S I have had massive Support from my Bank and Credit Card Companies . Who Recognise Cancer . I Really don’t know what to Say . More than happy to send  BT Facial Proof if anybody had the Stomach or Guts to see what is a Terrible Plauge on Society. Regards Steve N .~~~,Rotherham ~~~,2018-01-18~~~,1,1,3,3
Paying for Fibre and we have about 50% service.  Less when it is a busy time.  BT Customer Service say all the right things but rarely act on what thet say.  They always seem reluctant to get Outreqach involved  my guess is that since they are now 2 different companies BT has to pay a charge.~~~,Swansea~~~,2018-01-18~~~,2,1,2,1
I am absolutly disgusted with this company. Its an absolute joke. We signed up in September and after issues with them connecting us its been one thing after another. We are still waiting on a £45 reward back due to how much of a mess around we have had. We repeatedly had to chase everything up and each time speaking to someone different. Once our contract is over we will be going elsewhere. If I wasnt so annoyed I would laugh at how pathetic this company really is. The last time we were with BT they used to up the bill without notifiying and thats why we switched over. This time round we thought we will give them another try and we wish we hadnt!~~~,Scarborough area~~~,2018-01-17~~~,1,1,3,3
We have been without broadband for 6 days as BT disconnected are connection after we asked to change provider! As offcom say your provider should keep you connected until your new provider take over. BT have broken the terms and conditions of our contract and we are still waiting for a call from case management but we have been told this can take up to 48hrs! Considering they are a multinational telecommunications company trying to get them to put this right is impossible please take note of this comment as they should not be able to get away with this service and we will be handing over our complaint to Ofcom~~~,Southport ~~~,2018-01-16~~~,1,1,4,1
When it works it's not to bad...but operative word is 'when'. They are a law unto themselves and like all major corporations answer to no one. Customer service is zero... all you can do is just wait until they are ready to provide you with the service they charge an arm ans a leg for...gangsters~~~,london~~~,2018-01-15~~~,3,2,2,2
OMG if anyone wants to get Broadband from BT - DON’T  been with them over 15 years and my B.B. went down between Christmas and New Year  first call for anyone employed was for today  so 2 weeks later  I waited for someone to come to be today  then first call “yes they are coming give them to 9am”  second call “oh it wasn’t booked properly so can’t do it till next Saturday” Now three weeks no internet and used phone data and been told will not be reimbursed for that either. So Customer Services now less than 0%.  Sorry forgot to advised been on phone to them for over 4 hours all in all. So save yourself from the frustration and go hit your head against a wall as you will end up with the same pain.  Go with any other supplier as though their customer service is also rubbish you will save some money.   Very frustrated BT loyal (until now)  customer~~~,London~~~,2018-01-13~~~,1,~~~,1,1
"Bottom line: avoid like the plague.   My story.   Have had BT phone line and 'copper' broadband for 13 years in a rural location.  Speed and reliability poor (1-4 Mbps  flaky  frequent dropouts) but what can you do deep in the countryside?  Then  excitement!  Fibre has come to our hamlet.  We applied for BT Infinity.  4th Jan it gets turned on.  Nothing.  We have no broadband at all.  We book an OpenReach engineer to come the next morning (if 8am-1pm is 'morning').  I take the day off work.  No engineer.  BT have cocked up booking him.  They reschedule for the next Thursday 11th.  Another day off.  Engineer rocks up past midday.  He works for a couple of hours.  ""There is no way for you to get Infinity - the wiring of the boxes is all wrong.  They shouldn't have sold it to you"".   Nothing to be done: going back to copper next week (I hope).   I lodged a formal complaint.  Now we're arguing about compensation.  What's their offer to compensate me for two days off work  at least 2 weeks without internet and 4-5 hours on the phone?  £20.  I've told them to think again.   Utterly disorganised  useless  incompetent rabble.  Do yourself a favour and go elsewhere.~~~",Kent ~~~,2018-01-12~~~,1,1,1,1
Avoid at all costs! Horrendous customer service!Initial connection took ages. Then they charged me before I ever got it  I called to complain and they told me to wait they'd fix the bill. In the meantime broadband was finally setup (for two days) then they cut the line cause they said I haven't paid the bill (of the internet I never had! First month's bill was something over £32 for basic speed  *up to 17Mb and phone line no special extras! Then after all that they charged me something over £15 for late payment!~~~,London~~~,2018-01-11~~~,1,1,2,1
"Fibre ordered 11th November 2017...as for years have had max of 1.5 speed  here..Instead BT cut off my broadband totally 15th Nov to 15th Dec ...HOURS of phone calls after days at work to BT  & Openreach (for which privilege I am charged!)all over country & India  numerous promises of switch on and help  and repeats by myself that we have NO fibre and never  had engineer call to fit box inside or out...achieved no fibre and a month to reconnect copper..stress all round as little signal on mobiles either. Children's A levels falling behind as all on line. Still no fibre it appears it's  a ""records issue"" and I have to wait yet again... My patience with such an inept ""business"" is running out.  Any other business would be closed down.~~~",Heathfield East sussex~~~,2018-01-11~~~,1,1,1,1
It's obvious from the plethora of terrible reviews that BT suck. I agree that BT most definitely does suck. How is my £15 mobile phone internet faster on tethering than my £70 a month BT Fibre?! The staff on the phones pass you pillar to post with infrastructure problems whether you're contracted or not and can be unpleasant  along with crappy long queue times to do even the most simple account checks. Save yourself some time  choose ANY OTHER PROVIDER. You might save enough time to learn a new language  or maybe knit a jumper. Or at least you'll have a router provided that doesn't cut out exactly at the most important part of every show and video game you will ever be part way through. What's weird is that I'm not even a biased or negative person!~~~,Bridlington~~~,2018-01-11~~~,1,1,1,1
What can I say. BT are a shower of s****e. Their broadband is slow in my area and keeps dropping. Since November I have had a faulty land line so no phone/broadband. I have been lied to constantly by an “Executive Level” Customer complaints advisor. So I am “walking” and going off to Virgin Media who activate me on Saturday. The funniest thing is BT Openreach’s sub contractors (Oakus Limited - what a bunch of cowboys) turned up yesterday lunchtime and started digging a trench for a new phone cable. So BT will now have to restore the pavement at the same time as losing a customer!~~~,"Alveston, Bristol~~~",2018-01-11~~~,1,1,2,1
Joke !!! don't get BT  I got BT because I watch bt sport and thought it was a better option. I was massively wrong! I'm tied into a 2 year contract that would cost me £500 to cancel !!! my internet is slow !! and BT Freeview is awful !~~~,blackpool~~~,2018-01-10~~~,1,1,1,1
DO NOT USE THIS COMPANY. Just don't. You will save yourself a whole load of hassle. Go with someone else. In fact using data on your phone will be a better (not to mention a faster and cheaper) option. We signed up for BT broadband when we moved house. The moment you sign up  the problems will start. You will be greeted by incompetent customer service staff who either cannot  or will not help you. The reoccurring theme throughout your experience will be this;1- There is a problem with your internet/phone service  so you call up BT2- You will spend 10 - 20 minutes on hold 3- A non native English speaker on a bad line will answer your call. After answering your questions with quotes from a script  they will put you though to the relative department4- You will spend ANOTHER 5-15 minutes on hold.5- A slightly more competent person will pick up. Sometimes they're able to understand you  sometimes you'll be able to understand them  either way after listening to your complaint/query  they will give you answers from a script. If you're dissatisfied with their answers  they can;A- put you though to the complaints department (WASTE OF TIME!!! These guys are masters of bullsht and will have you hanging up in no time in the false hope that your problem will be solved. I found this to be the worst department of all  they lie though their teeth just to get you off the line!)B- Go and 'look on the system to see what the problem is' Exactly what these people do when they say they'll do this is a mystery. Naturally they will put you on hold AGAIN while this takes place and at the end your problem still wont get solved.At this point  you will have been on the phone for around an hour (40 mins if you're lucky) and you have TWO options- hang up and go back to 1Stay on the line and go back to 4I have wasted far too much of my life trying to sort out problems after problems that I can honestly say no other company has. After months of frustrations  we went with someone else. 7 days later  we have fast fibre! Suck it BT  you're a joke.~~~,Norfolk~~~,2018-01-10~~~,1,1,1,1
Really bad service. Supposed to get up to 52mbps for 'super fast broadband but getting only 7mbps. Engineers called out 4 times. Previously had 32mbps but keeps dropping back down shortly after engineer 'fixes it. Expensive for poor service. They charge loyal customers more than new ones. I wouldn't recommend BT.~~~,Pontypridd ~~~,2018-01-10~~~,~~~,2,~~~,3
By absolutely rubbish - current download speed 0.6 mb just not good enough for anything and spending £50 a month for nothing!! Total waste of money!~~~,West stockwith~~~,2018-01-07~~~,1,1,1,1
Worst customer service I have ever experienced. The operators never do as they promise.I had to cancel twice and even then they got the date wrong.I was billed incorrectly and promised a refund (even have the email proving it) but instead was billed again and told it was to late to stop that payment.Cannot put into this short review just how useless this company has been.~~~,UK~~~,2018-01-07~~~,2,1,3,4
Been waiting for 3 months for open reach to repair my phone line. After numerous engineers I don’t have a constant phone line  broadband spends more time down than up. I payed for infinity to get new hub due to an engineer saying my old one was faulty (didn’t cure my problem) hence I still get 1.6 download Av  when working.~~~,East Runton ~~~,2018-01-04~~~,1,3,1,1
BT is a joke. When we first moved to them from Sky they said it would cost £34.99 per month but since then it's been nearly £50 every month. We called to bring this up and they said it was correct. So we thought we will bide our time and move when 12 month contract finished. They are now saying we can't terminate because I am using the bt sport app and from the day I downloaded it the 12 month contract started again. This is total rubbish I never signed no extension. They are asking for £170 to come out. Please do not go with bt they don't give a **** about their customers. Bigest mistake we ever made~~~,Chester ~~~,2018-01-01~~~,1,2,5,5
Bt big rip off. Sky high prices. Daylight robbery.~~~,London~~~,2018-01-01~~~,~~~,~~~,5,5
"Tried to cancel within the 14 day period. Emailed confirmed cancellation but they did not act upon it.  I was left with BT Broadband for a month. Requested to transfer to another provider which they had to accept. But as soon as I did so  broadband became very slow. Webpages and emails took many minutes. Doesn't appear to be a ""good company"". It is unfortunate that BT owns the phone lines. Its min broadband speed is 1M. So you will only get a refund it is below this. If you can find a better provider you might want to switch.~~~",Warwickshire~~~,2017-12-31~~~,1,2,1,1
An explemary example of a company totally out of control.Moving to BT ? A unique experience. Duplicated customer accounts   billing cock ups  unintelligible customer service reps   the list is endless. Commenced service early December with promises of this speed and that. Result no where near ! Switching supply to another provider . Interesting that responses to emails to customer service take forever but cancel and you get one in two hours ! So on an 11month unexpired contract at £40 per month you can expect to get one of these emails. As you're still within the minimum term of your contract  you'll need to pay a charge for each month you've got left. We expect this to be £469.96 by the time you move.  You'll also need to pay:  £65.00 for BT broadband equipment charges£152.09 for BT TV equipment charges. This email was just after receiving one offering higher speeds e.g 76 Mbps if I signed up for 18months irrespective of the fact current contract is 52 Mbps and actual is 32mbps if you are lucky. Forget writing to OFCOM they are weak and totally unable to control BT.  Lots of very bad publicity is what is needed ..~~~,Cirencester~~~,2017-12-31~~~,~~~,~~~,~~~,~~~
