content,location,date
Bt are awful - terrible communication. I wanted to leave then offered another contract low price with nothing said about being charged over £200. Honestly avoid use another,TOTNES,2021-11-22
Very poor service inspite of being with BT for many years.They will start troubling your broadband if you move to a new provider at least for week or 10 days before the move.Absolutely rubbish customer service,wakefield,2021-11-19
Shambles of a company. I couldn`t use the Broadband due to unforseen circumstances. Bt said no problem they would send a return bag for the router and there would be no charges. 3 months and 3 phone calls later i have been charged £50 with no return bag sent. I have asked for a return address to send the kit back but they won`t give me one. Total rip off company,Stockport,2021-11-14
The service they provide is not close to that which is advertised. The internet speed is shockingly bad and periodically goes down for whole weekends. We have complained many times  however  their customer assistants are useless and unable to help in the slightest. One of the poorest service providers i have ever been with. Would not recommend to anyone who cares about broadband speed  consistency or customer care.,Kirkcaldy,2021-11-14
Existing BT customer here  just looking to change the point the internet cable comes into the house  as part of a refurb. Organised a date with BT 2 weeks ago for an engineer to come and do this. We were given a window of 8am-1pm. No one here by 12.30  so we rang BT customer services and were promised an engineer was on their way and were just held-up. My wife stayed in for the rest of the afternoon  with our 3 young boys  holding up the refurb work  only for no engineer to appear.  We ring BT this evening to understand how no one can appear and how the guidance at midday was that someone was on their way  only to be told that this was booked as a remote service and no one was ever going to come.  Absolutely shocking service. Building works held-up and can’t even find an apology  let alone a suitable revised date for the work.  Will now be leaving the service and would strongly recommend anyone assessing different suppliers to avoid BT. Their service is shockingly bad for such a high profile company.,"Surrey, UK",2021-11-12
Went for a deal with free Fitbit and ‘Great Wi-Fi’ in every room. 3 months on no Fitbit with no help from customer service after several calls and emails. Multiple rooms without any Wi-Fi even though they are 10 meters away from the main Hub.,Reading,2021-11-09
I have taken BT superfibre connection to my work from home. It is the worst decision I made. There was an inordinate delay in getting the connection. (Then 3 blokes came in 3 vans to put ONE wire from the road to the house. One did the work the other 2 merrily chatting away) I wish  Virgin was available in my area ! The speed is supposed to be 300Mb  I hardly get 50 MB. When I call BT they insist the connection is fine. The connection is unstable at best and often I cannot connect 2 devices let alone what is said in their ad! Can Britain not have better internet than this?,Sutton Coldfield,2021-11-09
having switched from sky to b t i can not return to sky quickly enough  The whole experience with B T has been dire broadbad wont connect poor set up by engineer phone line wont work  hours and hours on the phone and computer when they did manage to provide a service BAD BAD BAD,york,2021-11-09
Even putting 1 star is better than they deserve. The absolute worst internet I have ever had. Internet speeds ( by them ) were 15mb lower than they said  and my tests were absolutely disgraceful. I work from home so need a stable connection  however it has been impossible to do ANYTHING. Internet speeds showing a whopping 1mb/s (if that sometimes) pages taking years to load  youtube videos buffering on 240p. I have had to work from my friends house the last 2 weeks because of this and it's totally unacceptable. Never ever using BT again  the service is an absolute joke.,Peterborough,2021-11-08
"Exceptionally poor customer service  I would strongly advise anyone who is seeking a positive outcome and customer satisfaction to look elsewhere  I have been a loyal customer to BT over the last 24 Months paying my direct debts on time and enjoying the service until I made a short term transition into another property one in which the duration was going to be 3 months at the end of this period my service was going to cease  I made this very clear to BT. I have now been hit with an unexpected charge because of the move  I made it very clear to BT that this transition was going to be 3 months so why lie to a loyal customer and not make that loyal customer aware of the line rental charges  a company who supposedly puts ""customers first"" one of their core values  I am now starting to realise why BT do not advertise their Trustpilot score. Because of this experience  I will never recommend BT or any of BT's products to friends or family and I recommend anyone who is reading this to seek an alternative supplier and products.",Scotland,2021-11-08
